time,close,price_diff,arbitrage_signal
2021-01-29 02:00:00,1635.07,-4836.4691704769775,buy_put
2021-01-29 03:00:00,1626.09,-4845.449170476977,buy_put
2021-01-29 04:00:00,1622.32,-4849.2191704769775,buy_put
2021-01-29 05:00:00,1640.39,-4831.149170476977,buy_put
2021-01-29 06:00:00,1630.85,-4840.689170476977,buy_put
2021-01-29 07:00:00,1603.17,-4868.369170476977,buy_put
2021-01-29 08:00:00,1578.96,-4892.579170476977,buy_put
2021-01-29 09:00:00,1560.35,-4911.189170476977,buy_put
2021-01-29 10:00:00,1560.62,-4910.919170476977,buy_put
2021-01-29 11:00:00,1538.57,-4932.9691704769775,buy_put
2021-01-29 12:00:00,1524.68,-4946.859170476977,buy_put
2021-01-29 13:00:00,1551.78,-4919.7591704769775,buy_put
2021-01-29 14:00:00,1537.23,-4934.309170476978,buy_put
2021-01-29 15:00:00,1512.62,-4958.919170476977,buy_put
2021-01-29 16:00:00,1532.67,-4938.869170476977,buy_put
2021-01-29 17:00:00,1511.91,-4959.629170476977,buy_put
2021-01-29 18:00:00,1529.18,-4942.359170476977,buy_put
2021-01-29 19:00:00,1519.07,-4952.4691704769775,buy_put
2021-01-29 20:00:00,1506.38,-4965.159170476977,buy_put
2021-01-29 21:00:00,1513.98,-4957.559170476978,buy_put
2021-01-29 22:00:00,1516.38,-4955.159170476977,buy_put
2021-01-29 23:00:00,1531.23,-4940.309170476978,buy_put
2021-01-30 00:00:00,1515.5,-4956.039170476977,buy_put
2021-01-30 01:00:00,1509.93,-4961.609170476977,buy_put
2021-01-30 02:00:00,1538.05,-4933.489170476977,buy_put
2021-01-30 03:00:00,1532.79,-4938.749170476977,buy_put
2021-01-30 04:00:00,1556.47,-4915.069170476977,buy_put
2021-01-30 05:00:00,1577.55,-4893.989170476977,buy_put
2021-01-30 06:00:00,1572.46,-4899.079170476977,buy_put
2021-01-30 07:00:00,1583.87,-4887.669170476977,buy_put
2021-01-30 08:00:00,1539.46,-4932.079170476977,buy_put
2021-01-30 09:00:00,1546.75,-4924.789170476977,buy_put
2021-01-30 10:00:00,1523.66,-4947.879170476977,buy_put
2021-01-30 11:00:00,1532.39,-4939.149170476977,buy_put
2021-01-30 12:00:00,1573.56,-4897.979170476978,buy_put
2021-01-30 13:00:00,1596.41,-4875.129170476977,buy_put
2021-01-30 14:00:00,1611.21,-4860.329170476977,buy_put
2021-01-30 15:00:00,1608.86,-4862.679170476978,buy_put
2021-01-30 16:00:00,1609.6,-4861.939170476977,buy_put
2021-01-30 17:00:00,1598.48,-4873.059170476978,buy_put
2021-01-30 18:00:00,1595.48,-4876.059170476978,buy_put
2021-01-30 19:00:00,1602.48,-4869.059170476978,buy_put
2021-01-30 20:00:00,1614.26,-4857.279170476977,buy_put
2021-01-30 21:00:00,1605.4,-4866.139170476978,buy_put
2021-01-30 22:00:00,1596.31,-4875.229170476978,buy_put
2021-01-30 23:00:00,1613.13,-4858.409170476977,buy_put
2021-01-31 00:00:00,1627.21,-4844.329170476977,buy_put
2021-01-31 01:00:00,1617.75,-4853.789170476977,buy_put
2021-01-31 02:00:00,1621.31,-4850.229170476978,buy_put
2021-01-31 03:00:00,1608.0,-4863.539170476977,buy_put
2021-01-31 04:00:00,1602.04,-4869.499170476977,buy_put
2021-01-31 05:00:00,1585.67,-4885.869170476977,buy_put
2021-01-31 06:00:00,1597.14,-4874.399170476977,buy_put
2021-01-31 07:00:00,1569.15,-4902.389170476978,buy_put
2021-01-31 08:00:00,1577.61,-4893.929170476978,buy_put
2021-01-31 09:00:00,1578.99,-4892.549170476977,buy_put
2021-01-31 10:00:00,1550.32,-4921.2191704769775,buy_put
2021-01-31 11:00:00,1538.86,-4932.679170476978,buy_put
2021-01-31 12:00:00,1556.92,-4914.619170476977,buy_put
2021-01-31 13:00:00,1554.26,-4917.279170476977,buy_put
2021-01-31 14:00:00,1544.48,-4927.059170476978,buy_put
2021-01-31 15:00:00,1561.11,-4910.429170476978,buy_put
2021-01-31 16:00:00,1564.75,-4906.789170476977,buy_put
2021-01-31 17:00:00,1551.17,-4920.369170476977,buy_put
2021-01-31 18:00:00,1566.23,-4905.309170476978,buy_put
2021-01-31 19:00:00,1589.74,-4881.799170476977,buy_put
2021-01-31 20:00:00,1576.23,-4895.309170476978,buy_put
2021-01-31 21:00:00,1580.4,-4891.139170476978,buy_put
2021-01-31 22:00:00,1576.04,-4895.499170476977,buy_put
2021-01-31 23:00:00,1564.86,-4906.679170476978,buy_put
2021-02-01 00:00:00,1593.48,-4878.059170476978,buy_put
2021-02-01 01:00:00,1576.96,-4894.579170476977,buy_put
2021-02-01 02:00:00,1580.28,-4891.2591704769775,buy_put
2021-02-01 03:00:00,1583.38,-4888.159170476977,buy_put
2021-02-01 04:00:00,1583.83,-4887.709170476977,buy_put
2021-02-01 05:00:00,1564.52,-4907.019170476977,buy_put
2021-02-01 06:00:00,1582.04,-4889.499170476977,buy_put
2021-02-01 07:00:00,1555.59,-4915.949170476977,buy_put
2021-02-01 08:00:00,1547.34,-4924.199170476977,buy_put
2021-02-01 09:00:00,1531.36,-4940.179170476978,buy_put
2021-02-01 10:00:00,1556.13,-4915.409170476977,buy_put
2021-02-01 11:00:00,1573.59,-4897.949170476977,buy_put
2021-02-01 12:00:00,1592.35,-4879.189170476977,buy_put
2021-02-01 13:00:00,1632.07,-4839.4691704769775,buy_put
