time,open,high,low,close,tick_volume,spread,real_volume
2025-01-31 13:05:00,1810.83,1811.14,1805.23,1807.31,149,62,0
2025-01-31 13:10:00,1807.61,1809.13,1794.55,1799.6,149,62,0
2025-01-31 13:15:00,1799.7,1800.01,1794.99,1795.86,146,62,0
2025-01-31 13:20:00,1795.6,1798.86,1791.29,1791.29,149,62,0
2025-01-31 13:25:00,1790.76,1794.08,1782.91,1788.51,150,62,0
2025-01-31 13:30:00,1788.38,1797.11,1787.9,1797.11,148,62,0
2025-01-31 13:35:00,1797.07,1797.07,1790.47,1794.75,149,62,0
2025-01-31 13:40:00,1794.14,1799.9,1791.19,1799.38,149,62,0
2025-01-31 13:45:00,1800.28,1806.79,1799.08,1804.54,148,62,0
2025-01-31 13:50:00,1805.08,1812.99,1801.88,1812.92,150,62,0
2025-01-31 13:55:00,1812.79,1816.45,1805.32,1805.66,149,62,0
2025-01-31 14:00:00,1805.81,1807.65,1801.21,1806.53,148,62,0
2025-01-31 14:05:00,1805.96,1817.89,1805.33,1815.69,149,62,0
2025-01-31 14:10:00,1815.48,1818.36,1813.18,1817.29,148,62,0
2025-01-31 14:15:00,1816.74,1821.5,1816.18,1820.88,147,62,0
2025-01-31 14:20:00,1820.39,1824.59,1818.29,1820.24,150,62,0
2025-01-31 14:25:00,1819.49,1821.39,1812.08,1820.25,149,62,0
2025-01-31 14:30:00,1820.19,1828.09,1817.77,1826.33,147,62,0
2025-01-31 14:35:00,1826.29,1828.64,1821.71,1827.01,150,62,0
2025-01-31 14:40:00,1827.65,1838.85,1827.07,1835.6,148,62,0
2025-01-31 14:45:00,1835.62,1847.2,1835.62,1846.25,150,62,0
2025-01-31 14:50:00,1846.56,1847.92,1838.08,1838.43,149,62,0
2025-01-31 14:55:00,1838.11,1843.28,1835.3,1839.92,147,62,0
2025-01-31 15:00:00,1840.21,1843.63,1838.88,1842.42,148,62,0
2025-01-31 15:05:00,1842.69,1847.05,1838.89,1845.21,149,62,0
2025-01-31 15:10:00,1844.94,1850.85,1844.94,1845.22,150,62,0
2025-01-31 15:15:00,1845.15,1848.45,1841.86,1847.65,149,62,0
2025-01-31 15:20:00,1847.85,1854.24,1844.44,1853.98,148,62,0
2025-01-31 15:25:00,1854.87,1859.52,1854.25,1856.56,147,62,0
2025-01-31 15:30:00,1856.81,1858.86,1851.57,1854.25,149,62,0
2025-01-31 15:35:00,1854.65,1855.39,1838.29,1839.96,147,62,0
2025-01-31 15:40:00,1839.29,1850.68,1839.18,1849.28,148,62,0
2025-01-31 15:45:00,1849.73,1851.62,1839.38,1839.83,150,62,0
2025-01-31 15:50:00,1840.22,1843.07,1837.45,1838.61,149,62,0
2025-01-31 15:55:00,1838.29,1842.37,1835.91,1840.73,147,62,0
2025-01-31 16:00:00,1840.25,1845.36,1835.45,1843.97,147,62,0
2025-01-31 16:05:00,1843.86,1843.86,1835.58,1840.69,148,62,0
2025-01-31 16:10:00,1841.44,1843.7,1832.85,1843.54,150,62,0
2025-01-31 16:15:00,1842.82,1846.62,1837.63,1845.2,149,62,0
2025-01-31 16:20:00,1845.28,1851.44,1843.16,1851.3,149,62,0
2025-01-31 16:25:00,1851.14,1859.11,1850.89,1857.91,150,62,0
2025-01-31 16:30:00,1858.15,1858.15,1852.95,1854.07,150,62,0
2025-01-31 16:35:00,1853.48,1854.49,1849.47,1851.49,150,62,0
2025-01-31 16:40:00,1851.71,1851.93,1838.8,1844.83,149,62,0
2025-01-31 16:45:00,1845.17,1858.88,1845.02,1857.73,150,62,0
2025-01-31 16:50:00,1857.99,1859.61,1848.89,1849.57,148,62,0
2025-01-31 16:55:00,1848.87,1849.71,1841.85,1846.42,148,62,0
2025-01-31 17:00:00,1846.87,1850.02,1844.41,1849.09,148,62,0
2025-01-31 17:05:00,1849.12,1850.81,1844.94,1850.81,148,62,0
2025-01-31 17:10:00,1850.7,1857.02,1849.07,1855.85,149,62,0
2025-01-31 17:15:00,1855.64,1859.8,1854.91,1857.14,150,62,0
2025-01-31 17:20:00,1857.69,1869.03,1856.16,1869.03,149,62,0
2025-01-31 17:25:00,1869.77,1869.77,1858.2,1862.5,149,62,0
2025-01-31 17:30:00,1862.61,1868.65,1860.18,1867.71,148,62,0
2025-01-31 17:35:00,1867.57,1873.75,1867.08,1873.19,148,62,0
2025-01-31 17:40:00,1874.07,1879.96,1871.86,1879.96,150,62,0
2025-01-31 17:45:00,1881.19,1892.43,1880.94,1890.02,148,62,0
2025-01-31 17:50:00,1890.13,1897.29,1889.56,1896.2,149,62,0
2025-01-31 17:55:00,1897.0,1900.14,1893.79,1893.79,150,62,0
2025-01-31 18:00:00,1893.49,1894.15,1888.96,1889.86,150,62,0
2025-01-31 18:05:00,1889.83,1894.19,1888.13,1891.37,149,62,0
2025-01-31 18:10:00,1891.48,1897.8,1890.83,1896.8,148,62,0
2025-01-31 18:15:00,1896.96,1896.99,1886.92,1887.34,147,62,0
2025-01-31 18:20:00,1888.07,1888.56,1881.48,1883.27,150,62,0
2025-01-31 18:25:00,1883.5,1890.19,1881.37,1882.66,147,62,0
2025-01-31 18:30:00,1882.31,1886.15,1879.2,1880.45,150,62,0
2025-01-31 18:35:00,1879.82,1888.83,1878.75,1884.77,146,62,0
2025-01-31 18:40:00,1884.4,1886.63,1875.58,1875.58,148,62,0
2025-01-31 18:45:00,1876.12,1880.67,1874.6,1878.04,150,62,0
2025-01-31 18:50:00,1877.77,1879.59,1873.11,1873.11,148,62,0
2025-01-31 18:55:00,1873.29,1878.09,1871.12,1876.75,148,62,0
2025-01-31 19:00:00,1875.93,1876.45,1870.29,1870.67,149,62,0
2025-01-31 19:05:00,1870.22,1870.22,1865.63,1865.63,149,62,0
2025-01-31 19:10:00,1865.67,1874.36,1862.73,1871.57,147,62,0
2025-01-31 19:15:00,1871.33,1871.67,1865.07,1867.59,148,62,0
2025-01-31 19:20:00,1867.99,1869.65,1862.59,1862.59,150,62,0
2025-01-31 19:25:00,1862.06,1862.61,1848.29,1849.58,147,62,0
2025-01-31 19:30:00,1849.06,1859.69,1848.87,1858.14,147,62,0
2025-01-31 19:35:00,1858.46,1862.16,1857.73,1860.55,150,62,0
2025-01-31 19:40:00,1860.02,1862.99,1856.22,1857.21,148,62,0
2025-01-31 19:45:00,1857.89,1858.44,1850.67,1855.42,150,62,0
2025-01-31 19:50:00,1855.58,1858.03,1853.38,1853.56,149,62,0
2025-01-31 19:55:00,1853.85,1857.32,1851.2,1856.9,150,62,0
2025-01-31 20:00:00,1857.21,1861.72,1855.55,1860.27,148,62,0
2025-01-31 20:05:00,1860.17,1865.94,1857.03,1857.7,150,62,0
2025-01-31 20:10:00,1856.6,1857.4,1849.78,1853.57,148,62,0
2025-01-31 20:15:00,1853.75,1855.94,1852.05,1854.92,149,62,0
2025-01-31 20:20:00,1854.49,1858.06,1850.34,1850.57,150,62,0
2025-01-31 20:25:00,1850.08,1853.07,1847.07,1849.9,150,62,0
2025-01-31 20:30:00,1850.54,1856.29,1848.79,1849.32,148,62,0
2025-01-31 20:35:00,1848.94,1852.11,1845.38,1847.0,149,62,0
2025-01-31 20:40:00,1846.95,1848.89,1842.89,1845.11,149,62,0
2025-01-31 20:45:00,1844.92,1847.06,1829.27,1831.79,148,62,0
2025-01-31 20:50:00,1832.39,1835.05,1828.91,1830.23,149,62,0
2025-01-31 20:55:00,1830.41,1833.87,1823.58,1826.66,148,62,0
2025-01-31 21:00:00,1828.08,1835.95,1827.96,1828.51,144,62,0
2025-01-31 21:05:00,1828.85,1833.21,1827.48,1832.66,150,62,0
2025-01-31 21:10:00,1832.04,1834.07,1819.75,1821.4,148,62,0
2025-01-31 21:15:00,1821.33,1824.49,1819.77,1823.59,149,62,0
2025-01-31 21:20:00,1823.32,1825.27,1818.4,1819.9,150,62,0
2025-01-31 21:25:00,1820.64,1823.84,1816.23,1821.52,149,62,0
2025-01-31 21:30:00,1822.29,1830.01,1817.93,1830.01,149,62,0
2025-01-31 21:35:00,1829.55,1832.06,1826.64,1827.42,149,62,0
2025-01-31 21:40:00,1827.68,1836.45,1823.29,1823.29,148,62,0
2025-01-31 21:45:00,1823.34,1828.67,1821.57,1822.47,150,62,0
2025-01-31 21:50:00,1822.17,1826.8,1817.82,1826.17,149,62,0
2025-01-31 21:55:00,1825.93,1831.2,1825.82,1827.77,149,62,0
2025-01-31 22:00:00,1827.8,1833.19,1826.5,1827.02,150,62,0
2025-01-31 22:05:00,1826.57,1835.63,1826.35,1830.83,148,62,0
2025-01-31 22:10:00,1830.93,1831.27,1823.83,1829.8,150,62,0
2025-01-31 22:15:00,1829.95,1837.6,1829.65,1829.87,150,62,0
2025-01-31 22:20:00,1830.33,1834.75,1826.13,1834.75,150,62,0
2025-01-31 22:25:00,1835.43,1841.87,1831.3,1840.84,145,62,0
2025-01-31 22:30:00,1840.13,1843.22,1832.94,1833.71,150,62,0
2025-01-31 22:35:00,1833.4,1835.58,1819.32,1819.32,148,62,0
2025-01-31 22:40:00,1819.78,1819.86,1810.96,1813.62,148,62,0
2025-01-31 22:45:00,1813.28,1813.75,1803.23,1803.23,147,62,0
2025-01-31 22:50:00,1802.74,1806.01,1801.72,1803.89,149,62,0
2025-01-31 22:55:00,1803.96,1812.45,1801.47,1808.26,149,62,0
2025-01-31 23:00:00,1808.67,1809.91,1805.95,1806.28,147,62,0
2025-01-31 23:05:00,1806.04,1807.4,1803.03,1804.63,149,62,0
2025-01-31 23:10:00,1804.04,1804.04,1795.89,1796.91,149,62,0
2025-01-31 23:15:00,1797.49,1804.05,1796.55,1801.87,149,62,0
2025-01-31 23:20:00,1802.05,1802.05,1794.58,1795.05,150,62,0
2025-01-31 23:25:00,1794.32,1796.91,1790.53,1794.01,149,62,0
2025-01-31 23:30:00,1794.06,1795.29,1786.03,1792.04,150,62,0
2025-01-31 23:35:00,1792.74,1803.2,1791.97,1801.11,150,62,0
2025-01-31 23:40:00,1801.0,1813.08,1800.5,1811.85,147,62,0
2025-01-31 23:45:00,1812.17,1819.74,1809.36,1819.53,150,62,0
