time,open,high,low,close,tick_volume,spread,real_volume
2025-01-25 01:50:00,1923.36,1931.69,1919.08,1925.52,296,47,0
2025-01-25 02:00:00,1924.79,1931.92,1921.73,1925.51,299,47,0
2025-01-25 02:10:00,1925.26,1937.54,1922.72,1935.15,297,47,0
2025-01-25 02:20:00,1935.63,1949.67,1935.11,1948.53,295,47,0
2025-01-25 02:30:00,1948.95,1962.86,1948.19,1959.6,300,47,0
2025-01-25 02:40:00,1960.05,1975.6,1958.15,1968.63,298,47,0
2025-01-25 02:50:00,1969.69,1979.54,1967.37,1975.46,298,47,0
2025-01-25 03:00:00,1974.07,1981.52,1971.45,1979.76,296,47,0
2025-01-25 03:10:00,1979.74,1982.61,1971.74,1978.88,299,47,0
2025-01-25 03:20:00,1978.5,1981.72,1973.12,1979.51,297,47,0
2025-01-25 03:30:00,1979.03,1993.92,1979.03,1983.91,298,47,0
2025-01-25 03:40:00,1984.22,1984.98,1973.15,1982.23,299,47,0
2025-01-25 03:50:00,1982.86,1993.71,1978.82,1992.0,296,47,0
2025-01-25 04:00:00,1992.56,2003.52,1989.76,1997.68,298,47,0
2025-01-25 04:10:00,1997.87,2010.62,1997.87,2004.62,298,47,0
2025-01-25 04:20:00,2005.1,2010.19,2001.95,2007.32,300,47,0
2025-01-25 04:30:00,2007.05,2019.87,2003.59,2018.22,299,47,0
2025-01-25 04:40:00,2017.57,2032.46,2016.41,2032.46,298,47,0
2025-01-25 04:50:00,2032.68,2032.68,2023.37,2029.22,298,47,0
2025-01-25 05:00:00,2029.39,2036.35,2022.4,2028.49,299,47,0
2025-01-25 05:10:00,2028.49,2035.65,2026.23,2034.91,299,47,0
2025-01-25 05:20:00,2035.71,2053.21,2031.68,2052.66,299,47,0
2025-01-25 05:30:00,2052.85,2068.94,2051.85,2066.1,296,47,0
2025-01-25 05:40:00,2065.5,2073.51,2062.76,2064.93,299,47,0
2025-01-25 05:50:00,2064.88,2068.04,2061.23,2064.42,298,47,0
2025-01-25 06:00:00,2064.43,2066.55,2057.13,2066.31,299,47,0
2025-01-25 06:10:00,2065.49,2069.75,2057.64,2062.14,298,47,0
2025-01-25 06:20:00,2061.98,2076.85,2061.79,2069.22,296,47,0
2025-01-25 06:30:00,2069.92,2075.72,2055.81,2057.07,299,47,0
2025-01-25 06:40:00,2055.66,2061.32,2054.2,2060.23,299,47,0
2025-01-25 06:50:00,2060.59,2066.48,2052.05,2062.94,298,47,0
2025-01-25 07:00:00,2063.48,2077.92,2063.0,2070.12,297,47,0
